,19_1,19_1_gen,19_2,19_2_gen,19_3,19_3_gen,19_4,19_4_gen,19_5,19_5_gen,19_6,19_6_gen,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
50,"하루 계획표, 학교종이",festyle,R-Play - PS4를 위한 리모트 플레이,tertainment,"편한가계부 (+음성, PC)",금융,위젯 캘린더,festyle,Analog Acoustic,oto & Video,LumaFusion,oto & Video,Bloons TD 5,전략,DEEMO,음악,던전공주,롤플레잉,Terraria,어드벤처,Hidden Folks,venture,VV Clock,
51,Just Press Record: Voice and Audio Recorder with Automatic Sync,ilities,Goblin Sword,le Playing,리틀베리숲이야기,어드벤처,Construction Simulator 3,시뮬레이션,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,Hitman GO,퍼즐,Analog Beijing,oto & Video,60 Seconds! Atomic Adventure,어드벤처,LumaFusion,oto & Video,오투잼 - 뮤직 & 게임,,오투잼 - 뮤직 & 게임,,Procreate Pocket,tertainment
52,부라보 사진기,oto & Video,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,미니 메트로,시뮬레이션,뷰포트 (Viewport),퍼즐,ZAPAN - 자판,oto & Video,Feica - 나의 첫번째 필름 카메라,oto & Video,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,우리말 공부,교육,DEEMO,음악,Membership Widget Pro,nance,Kingdom Rush Frontiers,전략,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성
53,미니 메트로,시뮬레이션,Geometry Dash,아케이드,To the Moon,롤플레잉,Bloons TD 5,전략,갓피플성경,도서/참고자료,Poly Bridge,zzle,미니 메트로,시뮬레이션,회전초밥 스토리,캐주얼 게임,NBA 2K20,스포츠,The Swords of Ditto,,위젯 캘린더,festyle,Space Marshals,액션
54,트윈프린세스,mulation,"PLOT - 플롯, 나의 이야기",oto & Video,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",라이프스타일,iReal Pro ? 음악 책 & 합주,sic,용사민박,시뮬레이션,To the Moon,롤플레잉,Moment - Pro Camera,oto & Video,길고양이 이야기 : support edition,어드벤처,개념 한국사,교육,Isoland,venture,후엠아이: 도로시 이야기,시뮬레이션,Feica - 나의 첫번째 필름 카메라,oto & Video
55,Amazing Frog?,tion,서울 2033 : 후원자,어드벤처,워터파크 스토리,시뮬레이션,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,Terraria,어드벤처,Terraria,어드벤처,Rebel Inc. (반란 주식회사),시뮬레이션,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,"하루 계획표, 학교종이",festyle,개념 한국사,교육,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,Splendor,보드
56,The Room Three,venture,Nexomon,le Playing,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,포모도로,oductivity,뷰포트 (Viewport),퍼즐,"편한가계부 (+음성, PC)",금융,온더훅 : 더 얼티밋 패트론 에디션,시뮬레이션,NewBorder - 뉴보더 여백의 미,oto & Video,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,Hidden Folks,venture,Dead Cells,,Wordmaster 워드마스터 수능 2000(18개정),ucation
57,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,Terraria,어드벤처,GoCamera 소니 PlayMemories 카메라 용,oto & Video,마녀의 샘,롤플레잉,던전 서바이벌,롤플레잉,Getting Over It with Bennett Foddy,시뮬레이션,LumaFusion,oto & Video,미니 메트로,시뮬레이션,Hyper Light Drifter,,Notability,oductivity,Pirates Outlaws,카드,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처
58,"PLOT - 플롯, 나의 이야기",oto & Video,워터파크 스토리,시뮬레이션,Phone Doctor Plus,도구,워터파크 스토리,시뮬레이션,iReal Pro ? 음악 책 & 합주,sic,던전공주,롤플레잉,영단어 완전학습 - 사전 & 단어장,ucation,Analog Beijing,oto & Video,워터파크 스토리,시뮬레이션,TouchRetouch,사진,위대한 정복자: 로마,전략,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",oductivity
59,탐욕의 동굴(The Greedy Cave),롤플레잉,Phone Doctor Plus,도구,Hidden Folks,venture,Cytus II (사이터스Ⅱ),음악,GoodNotes 5,oductivity,Kingdom Rush Origins,전략,Analog Acoustic,oto & Video,Moment - Pro Camera,oto & Video,Rebel Inc. (반란 주식회사),시뮬레이션,위플 가계부,nance,히어로언리쉬드,롤플레잉,레이튼 교수와 이상한 마을 HD,어드벤처
60,박코치 학습기,ucation,히트맨 스나이퍼 (Hitman Sniper),액션,Florence,퍼즐,Filmica,oto & Video,Spectre 카메라,oto & Video,Shadow Of Death: Premium Games,le Playing,영화공방 스토리,시뮬레이션,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,GoodNotes 5,oductivity,Cytus II (사이터스Ⅱ),음악,AdGuard Pro - adblock and privacy protection,ilities,NewBorder - 뉴보더 여백의 미,oto & Video
61,Reigns: 왕좌의 게임,카드,NBA 2K19,스포츠,Terraria,어드벤처,감성공장,oductivity,위젯 캘린더,festyle,위플 가계부,nance,Poly Bridge,zzle,던전메이커,전략,Notability,oductivity,위대한 정복자: 로마,전략,GoodNotes 5,oductivity,마녀의 샘,롤플레잉
62,Night of the Full Moon,전략,Time Timer,oductivity,"하루 계획표, 학교종이",festyle,위플 가계부,nance,ProCam 2 - 카메라와 사진 / 동영상 에디터,oto & Video,개념 한국사,교육,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,Pirates Outlaws,카드,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,미니 메트로,시뮬레이션
63,Mi Band Master,alth & Fitness,위젯 캘린더,festyle,Amazing Frog?,tion,Phone Doctor Plus,도구,Speater (구간반복 어학기 - 노래/음악/동영상/영화/미드 ),ucation,Monument Valley,퍼즐,Infinite Flight - 비행 시뮬레이터,시뮬레이션,던전공주,롤플레잉,Journey,mily,FEELT,oto & Video,SOFTO - Polaroid Camera,,Dead Cells,
64,온더훅 : 더 얼티밋 패트론 에디션,시뮬레이션,Cytus II (사이터스Ⅱ),음악,마녀의 샘3,롤플레잉,"편한가계부 (+음성, PC)",금융,"nPlayer - 무인코딩, 스트리밍 동영상 재생 플레이어",tertainment,CamScanner+,oductivity,던전 서바이벌,롤플레잉,한국사 능력,ucation,Human: Fall Flat,퍼즐,Analog Beijing,oto & Video,"PLOT - 플롯, 나의 이야기",oto & Video,부라보 사진기,oto & Video
65,TouchRetouch,사진,GoodNotes 5,oductivity,Monument Valley,퍼즐,kirakira+,oto & Video,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,워터파크 스토리,시뮬레이션,MONG LI,oto & Video,Analog Acoustic,oto & Video,R-Play - PS4를 위한 리모트 플레이,tertainment,로그하츠,롤플레잉,FEELT,oto & Video,Analog Beijing,oto & Video
66,Geometry Dash,아케이드,턴제 SRPG - 세번째기적,롤플레잉,로그하츠,롤플레잉,Goblin Sword,le Playing,AVStreamer - 고성능 원격제어 + 영화/TV/웹캠 스트리밍,oductivity,미니 메트로,시뮬레이션,TEDICT - TED로 영어를 배우세요,교육,데이그램 - 하루 한줄 일기장,라이프스타일,위플 가계부,nance,FondFont: Install System Fonts,ilities,Analog Acoustic,oto & Video,RFS - Real Flight Simulator,시뮬레이션
67,Florence,퍼즐,Wordmaster 워드마스터 수능 2000(18개정),ucation,레플리카 ( Replica ),어드벤처,로그하츠,롤플레잉,Polca,oto & Video,Geometry Dash,아케이드,Ski Safari 2,아케이드,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,지겨워하지마: VIP (방치형 RPG 게임),롤플레잉,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",oductivity,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,"PLOT - 플롯, 나의 이야기",oto & Video
68,Cytus II (사이터스Ⅱ),음악,Splendor,보드,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,"nPlayer - 무인코딩, 스트리밍 동영상 재생 플레이어",tertainment,이스텔리아 스토리,롤플레잉,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,TouchRetouch,사진,Cute Emoticon Keyboard,cial Networking,Reigns,카드,지겨워하지마: VIP (방치형 RPG 게임),롤플레잉,Goblin Sword,le Playing,서울 2033 : 후원자,어드벤처
69,로그하츠,롤플레잉,Kingdom Rush Frontiers,전략,위젯 캘린더,festyle,Doodle Jump,아케이드,Bloons TD 6,전략,BADLAND,어드벤처,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,Incredibox,음악,에버테일,롤플레잉,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,Feica - 나의 첫번째 필름 카메라,oto & Video,Analog Acoustic,oto & Video
70,Candleman:find yourself,액션,Quotes: 명언을 위젯과 워치에서,ucation,Dkon,oto & Video,Spectre 카메라,oto & Video,Absolute Drift,자동차 경주,Ski Safari 2,아케이드,8mm Vintage Camera,oto & Video,CamScanner+,oductivity,Splendor,보드,Analog Acoustic,oto & Video,Do Not Feed the Monkeys,,FEELT,oto & Video
71,위젯 캘린더,festyle,위플 가계부,nance,iReal Pro ? 음악 책 & 합주,sic,Pirates Outlaws,카드,Worms 4,전략,Rusty Lake Hotel KR,venture,BestLuck - 감성 스토리 어드벤쳐 게임,퍼즐,Hidden Folks,venture,Shadow Of Death: Premium Games,le Playing,반교:디텐션,,Alien: Blackout,tion,Doodle Jump,아케이드
72,세븐데이즈 - 라이트 노벨 어드벤처 .스토리 선택 게임,어드벤처,DRAGON QUEST,롤플레잉,페이카 교토 Filmlike Kyoto,oto & Video,GoodNotes 5,oductivity,Rockstars of Ooo - 어드벤처 타임 리듬 게임,sic,인증샷 - 사진에 시간&장소 인증,,Splendor,보드,Rebel Inc. (반란 주식회사),시뮬레이션,Love You to Bits,어드벤처,FILCA - SLR 필름 카메라,oto & Video,Poly Bridge,zzle,To the Moon,롤플레잉
73,개념 한국사,교육,TEDICT - TED로 영어를 배우세요,교육,Goblin Sword,le Playing,Rusty Lake: Roots KR,venture,Just Press Record: Voice and Audio Recorder with Automatic Sync,ilities,데이그램 - 하루 한줄 일기장,라이프스타일,"편한가계부 (+음성, PC)",금융,개념 한국사,교육,서울 2033 : 후원자,어드벤처,NewBorder - 뉴보더 여백의 미,oto & Video,Flashcards Deluxe,교육,Terraria,어드벤처
74,마녀의 샘3,롤플레잉,iReal Pro ? 음악 책 & 합주,sic,Haus - 암기앱,ucation,NBA 2K19,스포츠,개념 한국사,교육,영화공방 스토리,시뮬레이션,투넘버 문자,festyle,Human: Fall Flat,퍼즐,Hidden Folks,venture,Bloons TD 6,전략,Notability,oductivity,"하루 계획표, 학교종이",festyle
75,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,To the Moon,롤플레잉,부라보 사진기,oto & Video,BFT - Bear Focus Timer,ilities,워터파크 스토리,시뮬레이션,Hidden Folks,venture,"nPlayer - 무인코딩, 스트리밍 동영상 재생 플레이어",tertainment,Phone Doctor Plus,도구,Terraria,어드벤처,Analog Portland,oto & Video,Rebel Inc. (반란 주식회사),시뮬레이션,위젯 캘린더,festyle
76,8-STEP 영어회화 - 패턴 영어 회화 능력을 향상시키세요.,ucation,Blink - 빠른 메모 블링크,oductivity,위플 가계부,nance,Bloons TD 6,전략,Age of Civilizations II,전략,삼국지 한말패업,전략,Rusty Lake Paradise KR,venture,에버테일,롤플레잉,OLDV - 80년대 티비에 내가 나온다면 ( 오래된 비디오 / 캠코더 영상),oto & Video,Hyper Light Drifter,,Human: Fall Flat,퍼즐,Ski Safari,아케이드
77,히트맨 스나이퍼 (Hitman Sniper),액션,Don t Starve: Pocket Edition,어드벤처,Procreate Pocket,tertainment,Kingdom Rush Origins,전략,Hidden Folks,venture,Doodle Jump,아케이드,Phone Doctor Plus,도구,Age of Civilizations II,전략,Amazing Frog?,tion,Splendor,보드,위플 가계부,nance,CHRONO TRIGGER (Upgrade Ver.),롤플레잉
78,워터파크 스토리,시뮬레이션,Getting Over It with Bennett Foddy,시뮬레이션,Alook 브라우저 - 2 배속,ilities,Cytus,아케이드,The Gardens Between,zzle,위젯 캘린더,festyle,Tempo - Metronome 메트로놈,sic,"PLOT - 플롯, 나의 이야기",oto & Video,CamScanner+,oductivity,백화점 스토리2,시뮬레이션,감성공장,oductivity,PL@Y - 프리미엄 티켓북,festyle
79,Procreate Pocket,tertainment,Florence,퍼즐,ProCam 2 - 카메라와 사진 / 동영상 에디터,oto & Video,Puffin Browser Pro,커뮤니케이션,MONG LI,oto & Video,Rusty Lake Paradise KR,venture,던전공주,롤플레잉,Afterlight 2,oto & Video,ProCam 2 - 카메라와 사진 / 동영상 에디터,oto & Video,길고양이 이야기 : support edition,어드벤처,Rush Rally 3,자동차 경주,LumaFusion,oto & Video
80,Folaroid,oto & Video,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,LumaFusion,oto & Video,MyToday,festyle,Fly Gps - GO,tertainment,Phone Doctor Plus,도구,위젯 캘린더,festyle,"하루 계획표, 학교종이",festyle,ilSang Bom - DSLR 필터 카메라,oto & Video,WolframAlpha,도서/참고자료,Hyper Light Drifter,,마녀의 샘3,롤플레잉
81,던전메이커,전략,Procreate Pocket,tertainment,포모도로,oductivity,Terraria,어드벤처,Kingdom Rush Origins,전략,스왐피(Swampy) Where Is My Water?,퍼즐,Ys Chronicles 1,어드벤처,위플 가계부,nance,Bloons TD 6,전략,Cute Emoticon Keyboard,cial Networking,NightCap Pro,oto & Video,Kingdom Rush Frontiers,전략
82,RollerCoaster Tycoon® Classic,시뮬레이션,레플리카 ( Replica ),어드벤처,BringGo Korea,지도/내비게이션,TouchRetouch,사진,Infinite Flight - 비행 시뮬레이터,시뮬레이션,Rusty Lake: Roots KR,venture,Rush Rally 3,자동차 경주,5 STARS - 종합 리뷰 관리,oductivity,Pirates Outlaws,카드,Muse Dash,음악,부라보 사진기,oto & Video,킹덤 러쉬 벤전스 (Kingdom Rush Vengeance),전략
83,Splendor,보드,후엠아이: 도로시 이야기,시뮬레이션,TouchRetouch,사진,던전 서바이벌,롤플레잉,LumaFusion,oto & Video,서울 2033 : 후원자,어드벤처,Ys Chronicles II,롤플레잉,Rush Rally 3,자동차 경주,Procreate Pocket,tertainment,AnyFont,ilities,Analog Portland,oto & Video,Getting Over It with Bennett Foddy,시뮬레이션
84,LumaFusion,oto & Video,Beholder,어드벤처,개념 한국사,교육,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,마녀의 샘,롤플레잉,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,oto & Video,마녀의 샘,롤플레잉,Splendor,보드,위젯 캘린더,festyle,아이언 마린 (Iron Marines),전략,언투다이2 (Earn to Die 2),자동차 경주,8-STEP 영어회화 - 패턴 영어 회화 능력을 향상시키세요.,ucation
85,위플 가계부,nance,Mi Band Master,alth & Fitness,Rush Rally 3,자동차 경주,Rusty Lake Hotel KR,venture,Sword Of Xolan,액션,Moment - Pro Camera,oto & Video,Getting Over It with Bennett Foddy,시뮬레이션,Bloons TD 6,전략,세븐데이즈 - 라이트 노벨 어드벤처 .스토리 선택 게임,어드벤처,Moment - Pro Camera,oto & Video,PL@Y - 프리미엄 티켓북,festyle,BADLAND,어드벤처
86,Modern Essentials Korean,건강/운동,AVPlayer (무인코딩 속도조절 자막지원 플레이어),tertainment,Calculator,ucation,Rush Rally 3,자동차 경주,Rusty Lake Paradise KR,venture,Guitar Pro,음악/오디오,"PLOT - 플롯, 나의 이야기",oto & Video,Blink - 빠른 메모 블링크,oductivity,Moment - Pro Camera,oto & Video,마왕 (Demon King),롤플레잉,Shadow Of Death: Premium Games,le Playing,연락처++ (그룹관리/초성검색다이얼/백업/메일/메시지/정리),ilities
87,보안카드 위젯 - 계좌이체를 빠르고 편리하게,nance,마녀의 샘3,롤플레잉,Aerofly FS 2019,cing,Splendor,보드,Don t Starve: Pocket Edition,어드벤처,지겨워하지마: VIP (방치형 RPG 게임),롤플레잉,"하루 계획표, 학교종이",festyle,Notability,oductivity,PL@Y - 프리미엄 티켓북,festyle,ProCam 2 - 카메라와 사진 / 동영상 에디터,oto & Video,Muscle Premium,의료,DRAGON QUEST,롤플레잉
88,Word master 워드마스터 수능 2000(개정),교육,개념 한국사,교육,Reigns,카드,Quotes: 명언을 위젯과 워치에서,ucation,위플 가계부,nance,iReal Pro ? 음악 책 & 합주,sic,Doodle Jump,아케이드,NightCap Pro,oto & Video,던전 서바이벌,롤플레잉,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",라이프스타일,Splendor,보드,Rebel Inc. (반란 주식회사),시뮬레이션
89,Monument Valley 2,퍼즐,STAY: Are you there?,venture,Nexomon,le Playing,Word master 워드마스터 수능 2000(개정),교육,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",라이프스타일,세븐데이즈 - 라이트 노벨 어드벤처 .스토리 선택 게임,어드벤처,Hidden Folks,venture,Amazing Frog?,tion,60 Seconds! Atomic Adventure,어드벤처,LumaFusion,oto & Video,Analog Beijing,oto & Video,Streaks,alth & Fitness
90,To the Moon,롤플레잉,Alphaputt,orts,아카데미 스토리2,캐주얼 게임,"하루 계획표, 학교종이",festyle,"PLOT - 플롯, 나의 이야기",oto & Video,Bloons TD 6,전략,워터파크 스토리,시뮬레이션,Flashcards Deluxe,교육,Rusty Lake Hotel KR,venture,"PLOT - 플롯, 나의 이야기",oto & Video,Monument Valley,퍼즐,Florence,퍼즐
91,Bloons TD 5,전략,Folaroid,oto & Video,서울 2033 : 후원자,어드벤처,마녀의 샘3,롤플레잉,Streaks,alth & Fitness,The Room: Old Sins,퍼즐,던전메이커,전략,온더훅 : 더 얼티밋 패트론 에디션,시뮬레이션,Cytus,아케이드,Time Timer,oductivity,아이언 마린 (Iron Marines),전략,Monument Valley 2,퍼즐
92,Ski Safari,아케이드,마녀의 샘2,롤플레잉,Pou,캐주얼 게임,Flink: Calendar & Todos / 플링크 노트,oductivity,Human Anatomy Atlas 2017 Edition - Complete 3D Human Body,dical,Pou,캐주얼 게임,어썸노트 (일정관리/캘린더/할일/다이어리/음력),oductivity,Agent A - 숨겨진 퍼즐,퍼즐,Rusty Lake Paradise KR,venture,Wordmaster 워드마스터 수능 2000(18개정),ucation,Getting Over It with Bennett Foddy,시뮬레이션,"우리자기 - 커플 필수 앱 (커필 디데이, 사귄 날 수, 위젯, 워치 지원)",festyle
93,Portal Knights,어드벤처,친일인명사전,도서/참고자료,Just Press Record: Voice and Audio Recorder with Automatic Sync,ilities,Poly Bridge,zzle,Rush Rally 3,자동차 경주,The Gardens Between,zzle,ProCam 2 - 카메라와 사진 / 동영상 에디터,oto & Video,Shadow Of Death: Premium Games,le Playing,FondFont: Install System Fonts,ilities,레이튼 교수와 이상한 마을 HD,어드벤처,마녀의 샘,롤플레잉,GRIS,venture
94,Streaks,alth & Fitness,Flink: Calendar & Todos / 플링크 노트,oductivity,"SevenDays - 한 주의 계획에 집중, 오늘 계획을 위젯에서 보기",festyle,Cherry - 사진&영상 필터 카메라,oto & Video,Puffin Browser Pro,커뮤니케이션,회전초밥 스토리,캐주얼 게임,Rush Rally 2,자동차 경주,서울 2033 : 유시진,어드벤처,Instax - Instant Photo Maker,oto & Video,만화와 텍스트 - TXT 와 압축파일(+ PDF) 뷰어,oks,농구리그 스토리,스포츠,Muse Dash,음악
95,Kingdom Rush Frontiers,전략,ilSang Bom - DSLR 필터 카메라,oto & Video,온천골 스토리,캐주얼 게임,Reigns,카드,턴제 SRPG - 세번째기적,롤플레잉,마왕신부 -스토리 버전-,mulation,Ski Safari,아케이드,Ski Safari 2,아케이드,비디오 다이어트 - 동영상을 압축해서 메모리 절감!,ilities,Bloons TD 5,전략,Bloons TD 5,전략,Notability,oductivity
96,스왐피(Swampy) Where Is My Water?,퍼즐,Doodle Jump,아케이드,NBA 2K19,스포츠,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",라이프스타일,Wordmaster 워드마스터 수능 2000(18개정),ucation,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",라이프스타일,Kingdom Rush Frontiers,전략,Infinite Flight - 비행 시뮬레이터,시뮬레이션,NightCap Pro,oto & Video,Flashcards Deluxe,교육,Anatomy & Physiology,의료,Incredibox,음악
97,Muse Dash,음악,"금연 매니저 : 체계적인 운동, 음주, 흡연 관리",alth & Fitness,ProCamera 8 + HDR,oto & Video,Speater (구간반복 어학기 - 노래/음악/동영상/영화/미드 ),ucation,Phone Doctor Plus,도구,Monument Valley 2,퍼즐,한국사 능력,ucation,Alook 브라우저 - 2 배속,ilities,영화공방 스토리,시뮬레이션,Beholder,어드벤처,삼국지 한말패업,전략,Don t Starve: Pocket Edition,어드벤처
98,비비캠 BB Cam - 뷰티 & 파스텔 카메라,oto & Video,Bloons TD 6,전략,Monument Valley 2,퍼즐,Avengers: Endgame Stickers,tertainment,Procreate Pocket,tertainment,SleepTown: 건강한 수면 습관 익히기,alth & Fitness,후엠아이: 도로시 이야기,시뮬레이션,Getting Over It with Bennett Foddy,시뮬레이션,Flashcards Deluxe,교육,보안카드 위젯 - 계좌이체를 빠르고 편리하게,nance,킹덤 러쉬 벤전스 (Kingdom Rush Vengeance),전략,던전 서바이벌,롤플레잉
99,Feica Praha,oto & Video,"위플 해빗 (Habit) - 습관 관리, 목표 달성, To-Do",oductivity,Streaks,alth & Fitness,Monument Valley 2,퍼즐,어썸노트 (일정관리/캘린더/할일/다이어리/음력),oductivity,전국닌자 스토리,아케이드,GoodNotes 5,oductivity,Sky Guide: View Stars Night or Day,ference,ProCamera 8 + HDR,oto & Video,Procreate Pocket,tertainment,Cute Emoticon Keyboard,cial Networking,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진
